Construction (F),2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Average Regular Earnings (Euro),36539,36652,34736,33733,33271,33939,35065,34835,36018,35889
Average Overtime Earnings (Euro),1695,1380,1379,1440,1481,1561,1763,1327,1571,1624
Average Total Earnings excluding Irregular (Euro),38234,38032,36115,35173,34752,35500,36828,36163,37589,37513
Average Irregular Earnings (Euro),792,831,945,439,721,685,981,868,681,878
Average Total Earnings (Euro),39026,38862,37060,35612,35473,36185,37810,37030,38270,38391
Average Other Labour Costs (Euro),7100,7175,5601,4781,4521,4521,4897,4623,4864,4780
Average Total Labour Costs (Euro),46126,46037,42661,40393,39995,40705,42707,41653,43134,43170
Average Hourly Regular Earnings  (Euro),18.76,19.75,18.93,18.07,18.15,18.38,18.13,18.38,18.68,18.82
Average Hourly Overtime Earnings (Euro),0.87,0.74,0.75,0.77,0.81,0.85,0.91,0.7,0.82,0.85
Average Hourly Total Earnings excluding Irregular (Euro),19.63,20.49,19.68,18.84,18.95,19.23,19.04,19.08,19.5,19.67
Average Hourly Irregular Earnings (Euro),0.41,0.45,0.51,0.24,0.39,0.37,0.51,0.46,0.35,0.46
Average Hourly Total Earnings (Euro),20.04,20.94,20.19,19.08,19.35,19.6,19.54,19.54,19.85,20.13
Average Regular Weekly Paid Hours (Hours),36.1,34.7,34.3,34.9,34.2,34.4,35.9,35.4,35.9,35.5
Average Overtime Weekly Paid Hours (Hours),1.4,1,1,1,1.1,1.1,1.3,1.1,1.2,1.2
Average Total Weekly Paid Hours (Hours),37.4,35.7,35.3,35.9,35.3,35.5,37.2,36.4,37.1,36.7
Registered Employment  (Number),138400,94700,67700,62300,57700,58100,65200,76500,87700,94600
Wholesale and retail trade; repair of motor vehicles and motorcycles (G),,,,,,,,,,
Average Regular Earnings (Euro),24758,24447,24442,24588,25069,25317,25295,25849,26426,27051
Average Overtime Earnings (Euro),687,569,576,574,545,563,548,577,616,645
Average Total Earnings excluding Irregular (Euro),25445,25016,25018,25161,25614,25879,25843,26426,27042,27696
Average Irregular Earnings (Euro),1164,952,1097,1184,1281,1326,1439,1580,1690,1620
Average Total Earnings (Euro),26610,25968,26114,26345,26895,27205,27282,28006,28732,29316
Average Other Labour Costs (Euro),4532,4162,4045,3939,4262,4082,4293,4438,4581,4872
Average Total Labour Costs (Euro),31142,30130,30159,30284,31157,31287,31576,32444,33313,34188
Average Hourly Regular Earnings  (Euro),15.3,15.48,15.46,15.55,15.7,15.93,15.93,16.13,16.41,16.75
Average Hourly Overtime Earnings (Euro),0.42,0.36,0.36,0.36,0.34,0.35,0.35,0.36,0.38,0.4
Average Hourly Total Earnings excluding Irregular (Euro),15.72,15.84,15.82,15.92,16.04,16.29,16.27,16.49,16.79,17.15
Average Hourly Irregular Earnings (Euro),0.72,0.6,0.69,0.75,0.8,0.83,0.91,0.99,1.05,1
Average Hourly Total Earnings (Euro),16.44,16.44,16.52,16.67,16.84,17.12,17.18,17.47,17.84,18.16
Average Regular Weekly Paid Hours (Hours),30.3,29.7,29.7,29.7,30,29.8,29.9,30.1,30.2,30.3
Average Overtime Weekly Paid Hours (Hours),0.8,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.8
Average Total Weekly Paid Hours (Hours),31.1,30.4,30.4,30.4,30.7,30.6,30.5,30.8,31,31.1
Registered Employment  (Number),317000,285200,273800,270200,270700,276600,280800,286300,296100,303400
Transportation and storage (H),,,,,,,,,,
Average Regular Earnings (Euro),35703,34754,33480,33634,33750,34720,34568,35512,35705,36757
Average Overtime Earnings (Euro),2409,1711,1497,1367,1272,1243,1415,1513,1626,1495
Average Total Earnings excluding Irregular (Euro),38112,36465,34977,35000,35023,35963,35983,37025,37331,38252
Average Irregular Earnings (Euro),2037,1721,1701,2021,2571,2344,2088,1899,2097,1959
Average Total Earnings (Euro),40148,38186,36678,37022,37594,38308,38072,38923,39428,40211
Average Other Labour Costs (Euro),7318,7524,6916,6772,7940,7231,6744,6780,6571,6661
Average Total Labour Costs (Euro),47466,45710,43594,43793,45533,45539,44815,45703,45999,46872
Average Hourly Regular Earnings  (Euro),18.27,18.29,17.83,18.01,18.11,18.71,18.75,18.58,19.02,19.43
Average Hourly Overtime Earnings (Euro),1.23,0.9,0.8,0.73,0.68,0.67,0.77,0.79,0.87,0.79
Average Hourly Total Earnings excluding Irregular (Euro),19.5,19.19,18.63,18.75,18.79,19.38,19.52,19.37,19.89,20.22
Average Hourly Irregular Earnings (Euro),1.04,0.91,0.91,1.08,1.38,1.26,1.13,0.99,1.12,1.04
Average Hourly Total Earnings (Euro),20.55,20.1,19.53,19.83,20.17,20.65,20.66,20.36,21.01,21.26
