year,1,2,3,4,5,top,average,total
2015,12457,32631,56832,92031,202366,350870,79263,396317
2014,11690,31123,54104,87935,194277,332729,75826,379129
2013,11797,31353,54683,87989,196742,340329,76513,382564
2013,11855,31044,53239,84983,188453,327995,73915,369574
2012,11861,30656,52833,84751,187783,328330,73577,367884
2011,11844,30777,52528,84395,187611,328223,73431,367155
2010,11952,31017,53450,85747,184146,312217,73262,366312
2009,12762,32320,54720,86933,188730,326314,75093,375465
2008,12832,32494,55188,87804,188309,324431,75325,376627
2007,13205,33656,57120,90435,192014,328300,77286,386430
2006,13344,33830,56688,89729,197693,349617,78257,391284
2005,12931,33202,56193,88385,193680,341228,76878,384391
2004,12854,32890,55725,87867,190020,331131,75871,379356
2003,12882,33090,56170,88911,189536,326342,76118,380589
2002,13161,33463,56389,88699,189374,330691,76217,381086
2001,13569,34094,57068,89478,195413,348688,77924,389622
2000,13979,34903,58125,90357,195803,347374,78633,393167
